sentence,class
"The Canadiens finished first in the NHA for the first time in 1913 - 14 , in a tie with the Toronto Blueshirts.",0
lDon't take candy from strangers unless they offer you a ride.,1
What do you call a Frenchman that's been attacked by a bear? Claude ,1
"   
      
          
            
            
            
          
      
   
 uck",1
"""What a truly inspirational man that Steve Jobs was"" said my mate. ""What is your favourite Apple product?"" he asked. ""Cider, "" I replied.",1
Got fired today because I was caught masturbating with a vegetable. Nursing homes have strict rules about what you can do with patients.,1
"The instructions are read by the bot once every 30 minutes , so changes you make here will take some time to be automatically reflected on pages serviced by the bots.",0
Palestinian shot dead after stabbing Israeli policemen in Jerusalem ,0
Thousands of Egyptian doctors protest over alleged police brutality ,0
MSF seeks independent probe into bombing of Syria hospital:  ,0
"When defined this way , there are two possible remainders.",0
"Follow your dreams, except for the one where your naked at work.",1
"As The Old Cock Crows, So Does The Young",0
Felt that,1
The veins are lightly marked with black.,0
"[at the gym]
Me: it's not a hobby it's a lifestyle
Guy watching me massage mayo into my pubes: ok",1
This raises a note by three semitones.,0
"Every once in a while, it's important to show my kids who's boss. (I do this by pointing to my wife.)",1
"The Nautiloidea , on the other hand , stick to iteroparity ; they produce a few large eggs in each batch and live for a long time.",0
Chinese Uighur was tortured into confessing role in Bangkok bomb: lawyer ,0
"I went in to a pet shop and said, ""Can I buy a goldfish?"" The guy said, ""Do you want an aquarium?"" I said, ""I don't care what star sign it is"".",1
The tail may be naked or slightly haired.,0
One in every two and a half men are HIV positive.,1
Canada likely to aid struggling Bombardier,0
How do you find a blind man on a nude beach? It is not hard.,1
What do gay horses eat? Heyyyyyyyyyyy!,1
"Wife: I need you to do some things around the house this weekend
Me: I’m way ahead of you
Wife: no, like helpful things
Me: ah",1
If I do not respond to a photo of a lizard within 3 minutes you can assume I am dead.,1
"They have two children , Grace and Henry.",0
"Got fired from the market for being too violent. All I did was put out a sign that said, ""take lettuce from top of pile or heads will roll!""",1
Chinese man jailed for 23 years freed after verdict overturned ,0
raise your hand if you could easily meet this standard at 18,1
"I bought my wife a desk-lamp for her birthday, her face is really gonna light up when she sees it.",1
"Hey, I lost my phone. If you find it, call or text me, would ya?",1
Major German carmakers recall U.S. vehicles in latest move of long-running safety crisis:  ,0
U.S. okays sale of eight Lockheed F-16 fighter jets to Pakistan: Pentagon ,0
"In May that year , the couple were married , and soon after Johnny Bundy adopted Ted , legally changing his last name to `` Bundy ''.",0
"'Affluenza' teen sent back to Texas, 'docile' in detention  ",0
He That Has A Great Nose Thinks Everybody Is Speaking Of It,0
Foster 's Home for Imaginary Friends was founded by the elderly Madame Foster to provide a foster home for abandoned imaginary friends.,0
Cameroon army kills 92 militants in joint operation with Nigeria: Cameroon government ,0
Why did the banker eat lunch by himself? Because he was a loaner.,1
"Syrian Kurdish party rejects Turkish demands, warns against intervention ",0
Why is it important to have plenty of help when changing a light bulb? Many hands make light work.,1
British PM Cameron to meet EU's Tusk on Sunday as package takes shape ,0
Justice Department launches review of San Francisco police ,0
"SECURITY GUARD: We need to talk

ME: About my raccoon skateboarding in the mall?

SECURITY GUARD: Yeah

ME: [picking up my raccoon] Alright, we can leav-

SECURITY GUARD: [tearing up] His kick flips were sick, dude",1
The first recorded use of rose as a color name in English was in 1382.,0
"Fossils from New South Wales and New Zealand are estimated to be 50 million years old , corresponding to the Tertiary.",0
Exaggerations went up by a million percent last year.,1
"Using little plastic dinosaurs and some fishline, I made a scene for my wife's car backup camera.

Now we wait.",1
"Until I was thirteen, I thought my name was 'Shut Up.'",1
"Ceann means the head , or the end , and Torr means a round hill.",0
"me: who is the teletubby whose boner had to be blurred out when it popped out of his furry trousers in season 3

alex trebek: I haven’t even read the card yet",1
Everyone at this reptile convention figured out my ponytail is a clip on and it’s not good.,1
"His reign was troubled by disasters : a rain of blood which lasted three days , a devastating plague , and a great swarm of flies.",0
What's the difference between an oral and a rectal thermometer? The taste.,1
"After split from ally, Hungary's Orban strives to muster media muscle ",0
"Many Men, Many Minds",0
Why did they kick the leper out of the restaurant? They had to keep changing the finger bowls.,1
"A few animals have `` dog '' in their common names but are not canids , such as the prairie dog and the dog fish.",0
A man stole a case of soap from the corner store. The police said he made a clean getaway.,1
just got awested for vehicuwar manswaughter,1
"I used to be attention seeking, but look at me now!",1
Did you hear about the two blind gay guys? You've got to hand it to them.,1
What did the finger say to the thumb? I'm in glove with you.,1
Linux Mint is based on Ubuntu and the two distributions have much in common.,0
"As many of you know, I'm by no means a prescriptivist. Language is fluid, inexorably evolving, and those who fight it are as desk fans in a tempest.

That said.

I cannot fucking stand ""cheers"" as a verb to mean ""clink glasses""

""Cheers me!"" ""We cheersed!"" Etc all boil my blood",1
"In astrophysics , a white hole is the hypothetical time reversal of a black hole.",0
A dating app where two people match and beat the shit out of me.,1
What do you call a leper in a hot tub? Stew.,1
She speaks both Swedish and Russian.,0
"My black friend asked me if there's a colored printer in the library. I said ""Shit man, it's 2015 you can use whatever printer you want!""",1
Signing to Reprise caused many punk rock fans to regard Green Day as sellouts.,0
See link to make sure you know what an international version is.,0
What's the difference between virgin olive oil and regular olive oil? Popeye's penis.,1
"kids growing up today with email and twitter will never know how hard it was back in the '90s to keep in touch with friends... before going to the grocery store we'd update our wills, tearfully hugging our loved ones and praying that dysentery didn't take us.",1
Parties and politics in Iran's parliamentary election explained:  ,0
"In early 2009 , a live actor dressed up as a Corn Pops puff became the new mascot of Corn Pops.",0
"The stamps on the sheet may be perforated in the usual way , or imperforate.",0
Two teenage girls dead in shooting at Arizona high school: ,0
Yo mama is so old she farts dust.,1
there’s fine line between good tweets and bad tweets and i criss cross all over that shit every day,1
L.A “I can’t believe you would use straws. Don’t you care about the turtles?” *Steps over homeless person.*,1
"To all you vegetarians, the lifestyle you have chosen is a big missed steak .",1
"If our senses gave us wrong information about our environment , we would soon be extinct.",0
“You will either drown in the sea or die in the desert” – The world of people smuggling,0
Woman pulled alive from rubble two days after Taiwan quake  ,0
‘Hunger Games’ Prequel Novel Coming In 2020 https://trib.al/WwR2E6K  #WhatDoYouThink?,1
"me: hi honey I got a hand job today

wife: excuse me u what

me: I’m the new hamburger helper mascot

wife: ohhh haha how'd u pull that off

me: i let the casting director jerk me off",1
He arrived back in Altenberg `` with manuscript and bird intact . '',0
The two men break through the plants and enter the cave.,0
All That Glitters Is Not Gold,0
"Afghan women, girls face invasive virginity tests, says rights report ",0
Behind every fat woman there is a beautiful woman. No seriously move! You're in the way!,1
Every new McDonald's creates 40 jobs. 20 dentists and 20 heart surgeons!,1
"Me: There's no lamb

Chef: Then grill the chicken

Me *shining light on chicken's face* tell us where the lamb is, you son of a bitch",1
"Whas that? Oh, it's the stank basket.",1
"In any event , in going to Italy , Cervantes was doing what many young Spaniards of the time did to further their careers in one way or another.",0
A thing no one tells you about growing up is that none of us “feel” like adults and we’re all confused sometimes and scared sometimes and all of us face rejections and setbacks. Don’t despair because you haven’t “made it” yet. Have grace for yourself.,1
I always put the shopping carts back at the grocery store. I want the single moms to know I’m one of the good guys just in case I’m ever back on the market.,1
Why don't Baptists screw standing up? They're afraid people might think they're dancing.,1
A lie gets halfway around the world before the truth has a chance to get its pants on.,1
JyvÃ¤skylÃ¤ harbor is home for many passenger ships operating on lake PÃ¤ijÃ¤nne.,0
I stubbed my toe in a library once. I had to suffer in silence.,1
He was born and died in Bologna.,0
"WikiLeaks' Assange says to leave Ecuador embassy, accept arrest if loses U.N. case  ",0
"However Chinese characters should not be confused with Chinese words ; since most Chinese words are made up of two or more different characters , there are many times more Chinese words than there are characters.",0
"If the type of ISBN must be specified , the and templates may be used.",0
How many Californians does it take to screw in a lightbulb?None.  They screw in hot tubs.,1
Did you hear about the animal hotel that has exclusive accommodations for squirrels? It's called The Nutcracker Suite.,1
"I am making it my job to put the ""fun"" back into ""funeral.""",1
"Since James pinned Victoria , however , and not Melina , Jonathan Coachman announced that a rematch would take place immediately.",0
me *first time watching a porno*: they must'a took off their wedding rings for this.,1
German Jews fear rising antisemitism during Mideast refugee influx ,0
Crowded elevators smell different to midgets.,1
"When Three Know It, Alt Know It",0
U.S. says raised concerns with Rwanda over its activities in Burundi ,0
Many have colorful patterns.,0
British socialite to face Epstein accuser's defamation lawsuit ,0
"Many of these are volcanic in origin , but the best known volcano is Krakatoa.",0
"Like most arthropods , spiders lack balance and acceleration sensors and rely on their eyes to tell them which way is up.",0
The 2nd century BC started the first day of 200 BC and ended the last day of 101 BC.,0
"The connotation is a symbol of love and affection , not in the way of a rose , but a symbol of true love.",0
you really can’t get excited if you think i’m flirting with you because i unintentionally flirt with EVERYONE. i accidently flirted with my MOM yesterday,1
"Won the lottery for a million dollars today so I decided to donate a quarter of it to charity. I now have $999,999.75",1
"Got out of the shower and my wife said ""Look, its like a penis, only smaller"". I said ""Look, its like my secretary, only fatter and less flexible"".",1
"Every year , tourism grows in Curitiba.",0
"Soon , they became best friends.",0
"Whoever stole my copy of Microsoft office, I will hunt you down and I will make you pay. You have my word!",1
"My girlfriend has this weird, sick, demented sexual fetish. Cuddling.",1
I would never want to belong to any club that would have someone like me for member.,1
"*a man runs into the bar*

""HELP HELP, IS ANYONE HERE COUSINS WITH BON JOVI?""

*my date looks at me, I do nothing, my lies are now exposed*",1
Sorry I ignored your nudes but I was coming up with 10 really fucking annoying hashtags for my Facebook post.,1
"In this time falls the beginning of iron ore mining in and around IbbenbÃ¼ren , which ended in the first half of the 19th century.",0
"Over time , neutron stars slow down because their rotating magnetic fields radiate energy ; older neutron stars may take several seconds for each revolution.",0
"R&B singer Amerie is another famous Afro-Asian American , with her father being black and her mother Korean.",0
"kid: you said if I got good grades we'd go to Disneyworld

me: yup

kid: but this is Delaware

me: oh now look who suddenly understands geography",1
"""Wow, nice pair of crocs""
-Said no one, ever.",1
"I've designed a plane made entirely from rubber, so that when it crashes, it bounces. It's a Boing 747.",1
"Translated for non-millennials:

Total Fat = original
Sodium = oh my god",1
Kerry says effort and good faith could lead to lifting of sanctions on Russia:,0
What do you call a cow with no legs? Ground beef.,1
Pluto received every vote.,0
I love Dry erase boards. They're remarkable.,1
"""I Love Maths"" By Adam Up.",1
"Many schools teach children to make sock puppets and then have the children put on shows or plays for the whole school with them , sometimes with all the sock puppets singing.",0
NASA says big asteroid could pass near Earth next month  ,0
"Nelly Kelly was sure some fan , She would root just like any man , Told the umpire he was wrong , All along , Good and strong.",0
"Quake hits eastern Indonesia island, communications down ",0
Britain justified in many of its EU demands - Merkel ,0
"Me [cracking open a beer]: Man, what a rough day. 

Wife: IT’S 8 AM",1
Lazy People Fact #5626728943: You were too lazy to read that number.,1
"moth *repeatedly bashing itself against my computer monitor*

me: it's not a touchscreen you have to use the mouse",1
this is feminism,1
Two cats named 123 and Une-Deux-Trois swam across a river. 123 Cat made it but Une-Deux-Trois Cat Sank.,1
Samarra's Sunnis fear displacement a decade after Iraq shrine attack ,0
"sometimes when I need inspiration I’ll sit back, turn off the thong song, and turn on the orchestral version of the thong song",1
C. Rajagopalachari was the first Chief Minister.,0
"I’m real, real single.",1
He is the first known individual of Armenian ancestry to have come to North America.,0
Standing water implies the existence of crouching water and possibly even hidden flagon,1
Anxiety: Half of the time you're worried about the other half of the time.,1
"Good Neighbor: Hey I came as soon as I heard. You ok?

State Farm (out of breath): SO DID WE WE'RE ALSO HERE WE GOT HERE AT LIKE THE EXACT SAME TIME ITS A TIE",1
"The past, the present and the future were having an argument. It was tense.",1
"[wedding]

girlfriend of many years: i do

me: [suspiciously] why",1
Alcohol was created so ugly people can have a chance too.,1
Why did the sperm cross the road? Because I put on the wrong socks before I went for a walk.,1
"[in the park]

Me: Aww I see you have a puppy too...

Her: uh huh, I guess...

Me: [walks off dragging a beer can on a string]",1
"U.S. boosts study of Zika, birth defect link, as virus seen spreading ",0
"My kid: what were you like when you were a kid?

Me:",1
"A common year of 365 days has exactly 52 weeks and one day , so consequently the next new year is one day of the week later.",0
Why don't monsters eat clowns? Because they taste funny!,1
"The photographer  
trying to                          
explain for the 
37th time how  
humans naturally 
stand so they 
can maybe
get a normal                         Trump Jr. 
picture for once",1
"Instead of a linear driving device , one may use a nonlinear update function.",0
What do you call a woman with one leg shorter than the other? Eileen.,1
"Western European Summer Time is a summer daylight saving time scheme , 1 hour ahead of Coordinated Universal Time.",0
if you’re having sex and he doesn’t come in 15 minutes legally you’re allowed to leave,1
Turkey says has hit only Islamic State targets since ceasefire started ,0
Pentagon calls for parties to halt militarization of South China Sea  ,0
Thinktank says weak UK tax revenue could thwart Osborne's surplus aim:  ,0
How did the prawn meet his girlfriend? On the net.,1
See The viola in popular music below.,0
"Many species live most of their lives as single cells , while other species form colonies or long filaments.",0
Well over one thousand musical compositions have been inspired by Hugo 's works from the 1800s until the present day.,0
Rubio needs strong New Hampshire showing to rebut debate critics ,0
"Dollar pressured as US rate hikes views cool, Fed-speak awaited  ",0
"My wife told me to take a spider out instead of killing it. We went and had drinks. Cool guy, wants to be a web designer.",1
the fact that high waisted jeans are cool among middle schoolers blows my mind imagine entering high school without having seen every one of your classmates butt cracks WILD,1
Asian shares seen consolidating as investor fears ease ,0
Show her you care by secretly transferring a multivitamin into her mouth during French kissing.,1
Other methods included dousing saffron fibers with viscid substances like honey or vegetable oil.,0
Tea is for mugs.,1
"So I said “What about Signs with Mel Gibson?”

She said “I think I remember that film and-
The aliens ran through a dewy wet corn field”

And I said “Well there’s the hole in that plot”

Bwaaa dada da da dooo",1
What do you call a girl who sets fire to her credit card statements? Bernadette.,1
Please see List of people from Ontario.,0
"Additionally , you may appeal the at.",0
A Fool's Tongue Runs Before His Wit,0
I'm in a same-sex marriage. The sex is always the same.,1
"Dog 911: what's your emer-

Dog: MY HUMAN LEFT ME AT A STRANGE PLACE WITH OTHER DOGS FOR MANY MEALS

Dog 911: stay calm

Dog: WAIT MY HUMAN'S FINALLY BACK TO SAVE ME BUT IS TAN NOW

Dog 911: OMG

Dog: OMG

Dog 911: OMG",1
Dollar struggles as Yellen eyed for direction:  ,0
"Just turned on the TV to see Sydney and Tokyo have already started celebrating the New Year. Fucking idiots, it doesn't start until midnight",1
"WHO says Zika Virus spreads explosively, four million cases forecast:  ",0
I always found the fishmonger at our local market to be pretty unfriendly. In fact I'd describe him as a little standoffish.,1
Halloween: the only day you can get away with killing someone and leaving them on the front porch.,1
"To date , the head remains unburied.",0
"If you believe you may be notable enough , make your case on the appropriate talk pages , and seek consensus first , both with the notability and any proposed autobiography.",0
"During the late 1950s , Blake became one of the best known British pop artists.",0
"there will come a time when Trump will finally say ""yeah, so I raped women, okay?  happy now?"" and his followers will simply say ""wow, what a brave man to admit his own faults""",1
"me: ah, now I will drift gently off to dreamland.

refrigerator: I SHALL MAKE US SOME ICE CUBES",1
the trailer for the new Cars movie looks weird,1
"Me: i want to—

Therapist: try saying “i will” instead of “i want to”

Me: ok i WILL apologize for putting crystal light in your fishtank",1
Iran extends voting due to 'rush of voters': state TV ,0
Can Mississippi wear Delaware's New Jersey? I don't know but Alaska,1
"A politician is one who shakes your hand before election, and shakes your confidence after.",1
What did Arnold Schwarzenegger say before he began his chess game? I'll be black.,1
"we're canceling shark week because we just found out that they're real, and also super mean! sorry everyone wow",1
I BEG YOUR PARDON?!,1
A huge section of tree just broke off and demolished a bank in town. I've no idea which branch it was though..,1
How much room is needed to grow funghi? As Muchroom as possible.,1
"[therapist's office]

me: talking to people is so stressful. i wear headphones to avoid conversations and NEVER answer phone calls

therapist: you are the worst receptionist we've ever had",1
Economy can grow 8 pct in coming fiscal year - Jayant Sinha  ,0
"Pandas cannot fly. They are like penguins in that way. As a matter of fact all black and white animals are flightless (ex. zebras, orcas)",1
"Men kick friendship around like a football, but it doesn't seem to crack. Women treat it like glass and it goes to pieces.",1
"Good Night , and Good Luck.",0
"U.S., Apple ratchet up rhetoric in fight over encryption  ",0
Syrian opposition to meet U.N. envoy after 'positive response' ,0
The first written mention of the town of DÃ¼sseldorf dates back to 1135.,0
"The show 's premise was to see whether or not Nikki would perform the tasks given to her and keep her job for a day , or whether she would quit or be sacked due to her infamous tantrums.",0
"Calories in one pistachio: 4 

Calories burned opening one pistachio: 2,753

Take that, kale.",1
"Despite the name , it is not related to black pepper or to chili peppers.",0
Fed's Yellen says global risks could pose U.S. growth threat:  ,0
This meant that Raw was live one week and taped the next.,0
I hope the world will let him go in peace to build an honorable life and reputation . '',0
Australia says China 'challenged' South China Sea missile report  ,0
"Jamaican austerity government seeks second term, opposition vows jobs ",0
Caretas also alleged that Fujimori 's mother declared having two children when she entered Peru ; Fujimori is the second of four children.,0
Many chytrids are aquatic.,0
"How do you get an 80-year-old woman to yell, ""Fuck""? You get another 80-year-old woman right next to her to yell, ""Bingo!""",1
Alphabet overtakes Apple in market value - for now ,0
Nobody has ever..... said this to me,1
Drawing birds is a good way to keep the gloom at bay,1
psa it’s weird and off-putting to reply intentionally rude things to people you don’t actually know in an attempt to be funny/connect with them,1
Poland to join fight versus Islamic State in return for NATO help in east ,0
"Oat extract can also be used to soothe skin conditions , as in skin lotions.",0
"Wanting to do a meme with the people looking

                                         ME

                         Forgetting the picture",1
"The judge sided with Peters , but many astronomers and newspapers sided with Borst.",0
Watch out for lamp manufacturers. There are a lot of shady characters.,1
"As day breaks , Siegfried and BrÃ¼nnhilde emerge from their cave . BrÃ¼nnhilde sends Siegfried off to new adventures , urging him to keep their love in mind.",0
Rocky Rapids has one store at the hamlet center . Other home businesses are ran in Rocky Rapids as well.,0
Irish PM Kenny warns of Brexit risk to Northern Ireland:  ,0
Among those rescued were 69 children.,0
Iran holds talks with Russia over missile defense upgrade:  ,0
me hard at work creating brilliant content for my followers on twitter dot com,1
Even Reckoning Makes Long Friends,0
John Paul I was the first Pope born in the 20th century.,0
Here's a poem about the problems caused when a mathematical concept takes over a poem.,1
My boyfriend has just got a job as a light switch engineer. Its really turned me on.,1
when I get MARRIED my WIFE will be in THE KITCHEN where she STAYS and I WILL ALSO be there BECAUSE it’s ALSO our BED ROOM. we live in a VERY SMALL studio apartment because we are POOR,1
Oil prices rebound on investor optimism over oil producers deal  ,0
Greek PM says differences between lenders delaying bailout review - paper  ,0
"In some cases , the two recorders may be combined in a single FDR/CVR unit.",0
German spy agency got 100 tip-offs about ISIS fighters among refugees: report ,0
Neither Rhyme Nor Reason,0
"To punish mankind for stealing the secrets of fire , Jupiter ordered the other gods to make a poisoned gift for man.",0
I never liked my index and middle fingers but I’ve made peace with it,1
"Britain seeks stronger ""emergency brake"" from EU: source ",0
Fewer than a quarter of a million people speak English as their first language.,0
Take Care Of The Pence And The Pounds Will Take Care Of Themselves,0
Most of the time they are so much like the gear counter plus the reverse gear.,0
I always call out my wife's name during sex. Just to make sure she's not around.,1
"The wife thinks it's cruel we've started testing our new products on rabbits. She's got a point, I suppose. I work in a hammer factory",1
Czech president says planned EU border force too small ,0
"Some guy just assaulted me with milk, cream and butter. How dairy!",1
Teenager says attack on Jewish teacher was for Islamic State: prosecutor ,0
"GOD: people are pissing me off, I'm gonna kill most of them with a flood

NOAH: ok

GOD: and you know how food that's good for you tastes good and food that's bad for you tastes bad? I'm switching that

NOAH: aw c'mon man don't be a dick",1
"Older people shouldn't eat health food, they need all the preservatives they can get.",1
so are you ..you know *mimes cuffing jeans* bisexual?,1
[setting tinder radius] what's the circumference of the earth,1
I want to grow a mustache so I can twirl it while making plans to take over the world,1
The first vest used by the team had vertical white and light blue stripes.,0
"me: i got us tickets to the rolling stones

wife: omg you didn't?!

me: you're gonna love it

[later]

wife: *running from a boulder* I'M DIVORCING YOU",1
"rollerblader: [goes off a ramp and does a triple backflip, then a 1080, then 3 more backflips, then skates off with my crush]

me: lmao are you on rollerblades",1
Why don't blondes have elevator jobs? They don't know the route.,1
I’m losing my gotdam mind it’s like a little shoulder devil fell down and can’t get up omfg someone life alert the imp,1
My attention span was made for 140 twitter.,1
"boss: what're you doing

me: [closes laptop] nothing suspicious!",1
"In a fight, I can beat anybody with one hand.. The guys with two hands are always more difficult though.",1
European Parliament calls for release of HK booksellers detained in China ,0
"This was followed by her second album , Feels like Home , released in 2004.",0
"Simba was walking too slow, so I told him to Mufasa!",1
"[shark tank]
me: ridiculously wide sunglasses
shark 1: i'm out
shark 2: i'm out
hammerhead shark: i'm listening",1
Pentagon says two Navy boats in Iranian custody ,0
"Another common use is to let people know about your activities on Wikipedia , and your opinions about Wikipedia.",0
Boeing says to cut commercial airplane jobs to reduce costs  ,0
Italy drops objections to EU migration fund to Turkey  ,0
"I'm not affected by the price of gas, I just get $20 worth every time.",1
[extremely loudly] dome hepot,1
"Whenever a guy named Stephen tries to tell me what to do I shout, ""you're not my real hen!"" and run away",1
UltraTech to buy Jaiprakash cement plants for $2.4 billion  ,0
Why did the cyclops quit teaching? He had only one pupil.,1
"It also means to have one 's guard down , open to censure or criticism.",0
 Meet Israel's batgirl.  ,0
"Me: *Holds up drawing* is this the guy?

Witness: that looks nothing like him

Me: *furiously shaking Etch-a-Sketch* YOU DO IT THEN",1
" Five people killed in Canada school shooting, two more in critical condition: PM Trudeau",0
"Agnes was also the only Category 1 hurricane to be retired at the time , and one of 5 today.",0
"Her: so you’re rich?!

Me: yeah ᶦⁿ ˢᵖᶦʳᶦᵗ

Her: what?

Me: I’m loaded ʷᶦᵗʰ ᵈᵉᵇᵗ

Her: huh?

Me: I owe ˢᵒ ᵐᵘᶜʰ ᵐᵒⁿᵉʸ ah dammit i said the quiet part loud",1
Syria aid trucks enter four of five besieged areas ,0
U.S. and EU firms warn of 'enormous' consequences if data pact talks fail ,0
Crazy how I’m an adult despite my attitude and behavior and inability to book a doctor’s appointment,1
"As they jump from tree to tree , tarsiers can catch even birds in motion.",0
Today I went to toilet without my phone. There's 178 tiles in the bathroom.,1
The other half of the Earth is the water hemisphere.,0
Men don't care what's on TV. They only care what else is on TV.,1
Jukeboxes do not contain one single juke,1
"Me: I bought a luggage set!

Him: Which brand?

Me: I don't know, looks Russian. 

Him: How many pieces?

Me [unpacking one after the other]: Also unknown.",1
 Hillary Clinton congratulates Bernie Sanders on stage after losing New Hampshire primary. ,0
UK consumers least confident in over a year on economic uncertainties ,0
"Me: I’m taking the dog for a you-know-what. 

Husband: a w-a-l-k?

My dog:",1
"China expects to lay off 1.8 million workers in coal, steel sectors  ",0
"Opeth returned home after touring in support of Blackwater Park , and began writing for the next album . At first , Ãkerfeldt had trouble putting together new material : `` I wanted to write something heavier than we 'd ever done , still I had all these great mellow parts and arrangements which I didn't want to go to waste . ''",0
"A doctor told the boy, ""This injection won't hurt a bit.""  That's an MD promise.",1
In 1993 the three districts were merged.,0
Saudi Arabia says war games will boost military ties with Muslim allies:  ,0
"P. sativum is an annual plant , with a life cycle of one year.",0
"Fed keeps rates unchanged, wary eye on global markets ",0
 Gunmen open fire at entrance to hotel used by foreign tourists in Egyptian city of Hurghada: security sources,0
"Chinese flood Taiwan president-elect's Facebook, demanding return to China  ",0
"UPDATE: FIFA : Infantino 88, Sheikh Salman 85, Prince Ali 27, Champagne 7 in first round of presidential votes. ",0
Are you from Ireland? Cause when I look at you my penis is Dublin.,1
"How can it be both Midsummer's Day and the first day of Summer at the same time?

And other things to keep me awake at night.",1
Why can't you fool an aborted baby? Because it wasn't born yesterday.,1
An Ounce Of Discretion Is Worth A Pound Of Learning,0
 U.S. judge rules Martin Shkreli can travel to Washington D.C. to testify to congressional panel on drug pricing,0
"China seeks investment for disputed islands, to launch flights ",0
This series would also mark the end of a long period of invulnerability for the Yankees in the World Series.,0
MedellÃ­n is today a modern city with a population of three million.,0
Suicide bomber kills at least 15 outside Pakistan polio centre:  ,0
"I love my wife, she always gives me 100% sound advice. 99% sound, 1% advice.",1
UK forces through reforms for doctors despite union opposition ,0
TNS poll shows 36 percent of British voters would leave the EU versus 34 percent who would remain ,0
"“OK men, spread out.”

“Oat?”

“What?”

“Spread oats?”

“Spread out.”

“One oat?”

“Dammit.”

Why US/Canada joint military exercises don’t work.",1
This page was last modified $ 1.,0
Tennis racket? Match-fixing allegations hit the game as the Australian Open begins:  ,0
"HER: i’m just gonna hop in the shower real quick 

ME [concerned]: that sounds fairly dangerous, diane",1
Aguilera later said she was `` completely unaware of '' and `` didn't know if it a man or a woman . '',0
"After the Holocaust we said ""never again"".

America literally has concentration camps (not extermination camps) on its border. People have died there

To refuse to learn the lessons from the Holocaust does its victims a greater disservice than any amount of pedantic bickering.",1
I love the thread about baby boomers and their dull knives. It’s so specific and niche.,1
when two bananas from the same bunch are fuckin- this is know as an alabamana,1
